web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978374-2063","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=91","Overlord","4.5/5","2,529"
"1613978482-2857","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=51","Gryzor [hFFE]","4.2/5","3,489"
"1613978559-3419","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=23","Chip 'n Dale Rescue Rangers [T-Swed]","4.1/5","2,145"
"1613978450-2631","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=63","King's Knight [T-French]","4.1/5","1,192"
"1613978269-1276","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=130","Tecmo Super Bowl","4.1/5","27,870"
"1613978200-763","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=156","ZZZ_UNK_Hudson's Adventure Island (Bad CHR F9ccc03f)","5/5","785"
"1613978299-1493","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=119","Super Castlevania 2 (V0.5) (Hack)","5/5","602"
"1613978417-2391","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=75","Mario Spy Vs Spy (Hack) [hM00]","5/5","1,151"
"1613978364-1987","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=95","Polar Pop Demo (PD)","5/5","1,052"
"1613978269-1284","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=130","Teenage Mutant Hero Turtles 2","4.3/5","7,506"
"1613978556-3393","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=24","Chuka Taisen [T-Eng]","4.5/5","1,418"
"1613978189-690","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=160","ZZZ_UNK_Zelda_(PRG_1) (40960)","3.1/5","1,872"
"1613978267-1269","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Tennis (VS)","0/5","1,101"
"1613978482-2863","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=51","Guardian Legend, The [T-Span1.0]","4.3/5","1,200"
"1613978219-911","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=149","ZZZ_UNK_Cheetahmen 2 (Unl) (Bad CHR A42070b8)","5/5","589"
"1613978264-1250","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=132","Three Stooges","4.3/5","2,982"
"1613978377-2077","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=90","Nishitetsu Busjack (Buggy Popper Hack)","0/5","671"
